"","geo_value","time_value","visits","admits","chngVisits","covidChngVisits","gsymptoms","cases"
"608","06067",2020-07-18,2.817446,3.794563,3.574484,0.487567,0.478571428571429,182
"610","06071",2020-07-18,4.142834,9.191251,5.684868,0.952093,0.655714285714286,2098
"611","06073",2020-07-18,4.139921,5.711088,3.158133,0.488353,0.41,625
"612","06075",2020-07-18,7.796451,4.506179,17.905173,0.268332,0.287142857142857,141
"615","06081",2020-07-18,4.632868,0.205095,5.671686,0.442129,0.311428571428571,62
"617","06085",2020-07-18,4.242966,1.119682,5.492071,0.593974,0.298571428571429,169
"625","06111",2020-07-18,4.078854,4.091362,7.120431,0.561811,0.317142857142857,0
"629","06001",2020-07-17,5.668587,2.373319,10.776635,0.702836,0.332857142857143,231
"634","06013",2020-07-17,5.050543,2.887389,12.953247,0.868287,0.36,145
"636","06019",2020-07-17,9.110886,6.132775,13.371446,1.110742,0.768571428571429,441
"639","06029",2020-07-17,7.467435,16.753674,10.115153,1.9942,1.11428571428571,159
"642","06037",2020-07-17,6.477396,6.242835,7.943976,0.704649,0.482857142857143,2851
"650","06059",2020-07-17,6.64378,5.402474,6.349527,0.99825,0.552857142857143,405
"652","06065",2020-07-17,5.586693,7.027875,7.708286,0.798054,0.691428571428571,518
"653","06067",2020-07-17,2.777032,3.353985,3.557584,0.491915,0.481428571428571,116
"655","06071",2020-07-17,4.238499,8.960088,5.809157,1.000376,0.674285714285714,0
"656","06073",2020-07-17,4.541797,5.249318,3.219595,0.479936,0.412857142857143,634
"657","06075",2020-07-17,8.116061,4.126907,18.029679,0.294437,0.274285714285714,115
"660","06081",2020-07-17,4.709488,0.202094,5.765868,0.484359,0.325714285714286,70
"662","06085",2020-07-17,4.213704,0.898489,5.537181,0.608324,0.287142857142857,85
"671","06111",2020-07-17,4.61568,4.281771,7.33892,0.59666,0.302857142857143,0
"675","06001",2020-07-16,6.415887,2.607183,10.313539,0.757515,0.331428571428571,149
"680","06013",2020-07-16,5.561248,2.691735,13.126395,0.790983,0.364285714285714,93
"682","06019",2020-07-16,9.510028,5.507077,14.312345,1.166159,0.772857142857143,183
"685","06029",2020-07-16,8.387828,17.035767,10.464377,2.019538,1.08571428571429,153
"688","06037",2020-07-16,7.275555,5.986131,7.985278,0.740217,0.494285714285714,4459
"696","06059",2020-07-16,7.716543,5.184404,6.49028,1.022102,0.577142857142857,873
"698","06065",2020-07-16,6.182415,7.361902,7.751377,0.816581,0.724285714285714,806
"699","06067",2020-07-16,2.868107,3.090309,3.581203,0.482787,0.488571428571429,221
"701","06071",2020-07-16,4.435381,8.172572,5.813353,0.979639,0.7,0
"702","06073",2020-07-16,5.024281,4.855717,3.385956,0.527483,0.424285714285714,409
"703","06075",2020-07-16,8.327701,3.675641,17.619641,0.295063,0.254285714285714,164
"706","06081",2020-07-16,4.745945,0.196767,5.301823,0.517625,0.311428571428571,79
"708","06085",2020-07-16,4.654442,0.708238,5.536375,0.571113,0.275714285714286,95
"717","06111",2020-07-16,4.422519,4.702581,7.48336,0.63709,0.317142857142857,349
"720","06001",2020-07-15,7.158992,2.809884,10.805565,0.856907,0.324285714285714,157
"725","06013",2020-07-15,5.706164,2.664117,12.680184,0.74607,0.365714285714286,117
"727","06019",2020-07-15,9.312225,4.704931,14.410925,1.121808,0.775714285714286,185
"731","06029",2020-07-15,8.300993,16.764629,10.107909,1.8991,1.08285714285714,162
"734","06037",2020-07-15,7.780273,5.714111,8.41526,0.791443,0.508571428571429,2702
"742","06059",2020-07-15,9.187541,5.140082,6.822843,1.086934,0.607142857142857,911
"744","06065",2020-07-15,6.929529,7.733693,7.771712,0.884756,0.735714285714286,890
"745","06067",2020-07-15,2.976298,2.959283,3.545237,0.47375,0.475714285714286,236
"747","06071",2020-07-15,5.030343,7.263099,6.016037,0.94396,0.722857142857143,1012
"748","06073",2020-07-15,5.508184,4.972693,3.537786,0.599189,0.444285714285714,559
"749","06075",2020-07-15,8.985152,3.121641,17.591813,0.328282,0.251428571428571,56
"752","06081",2020-07-15,5.114934,0.190497,4.89441,0.518968,0.291428571428571,86
"754","06085",2020-07-15,5.154702,0.469381,5.500411,0.507453,0.285714285714286,226
"763","06111",2020-07-15,4.667745,5.388528,9.653273,0.536926,0.327142857142857,0
"766","06001",2020-07-14,7.739685,3.129669,10.374203,0.884009,0.335714285714286,345
"771","06013",2020-07-14,6.193235,2.800084,12.603521,0.866065,0.375714285714286,171
"773","06019",2020-07-14,10.194144,4.110289,14.080871,1.171906,0.768571428571429,474
"776","06029",2020-07-14,9.030824,17.994796,9.980358,1.791391,1.06285714285714,257
"778","06037",2020-07-14,8.954601,5.985051,8.51365,0.76878,0.52,4178
"786","06059",2020-07-14,10.769304,5.511004,7.001427,1.135344,0.631428571428571,865
"788","06065",2020-07-14,7.820702,7.526381,7.455514,0.883439,0.76,733
"789","06067",2020-07-14,3.001407,2.858692,3.48144,0.512076,0.475714285714286,224
"791","06071",2020-07-14,5.294803,6.266598,5.874148,0.900591,0.748571428571429,954
"792","06073",2020-07-14,5.98813,5.04036,3.799796,0.632186,0.448571428571429,539
